Restaurant Name,place_id,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
Gunther's,ChIJ0Wkqc6UZ2jERmam6mzVinfg,"#01-03, 36 Purvis Street, 188613, Singapore",Singapore,Central,3,French,103.8549,1.296602,9010 3075,https://guide.michelin.com/en/singapore-region/singapore/restaurant/gunther-s,https://www.gunthers.com.sg/,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","This owner-chef worked in some famous restaurants in his native Belgium and France before coming to Singapore. He describes his cooking as ""simple, honest and down-to-earth"", though a number of sumptuous dishes are to be had. Try his cold angel hair with a 6g quenelle of Oscietra caviar – one of his proudest creations, served since 2005. In addition to the timeless classics, check out seasonal offerings such as white asparagus.",A,0,28,4.14,good,0.7888,excellent,0.7709,good,0.9139,3.43,3.93,3.68
Hai Nan Xing Zhou Beef Noodle,ChIJqfRKpHoX2jER2DBjukNp6O0,"Kim Keat Palm Market & Food Centre, #01-06, 22 Lorong 7 Toa Payoh, 310022, Singapore",Singapore,Central,1,Street Food,103.857018,1.3355032,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hai-nan-xing-zhou-beef-noodle,https://maps.app.goo.gl/tmFGeqTRRTjjsAMa6,Bib Gourmand,"Dine-in,Takeaway,Delivery,Cash only,Wheelchair accessible","Choose between blanched rice noodles tossed in a thick gravy, or soup noodles in a deeply flavourful ox bone broth. Then top with sliced beef, beef tripe, tendon, beef balls, or a combination.",A,0,21,4.05,good,0.6127,excellent,0.5441,good,0.8535,3.43,4.05,3.81
Hai Nan Zai,ChIJe38Z9c0V2jERZV-xPhThdjY,"Chong Pang Market and Food Centre, #01-129, 105 Yishun Ring Road, 760105, Singapore",Singapore,North,1,Street Food,103.8279671,1.4318206,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hainan-zi,https://maps.app.goo.gl/vYNSFLrfhxLqPa4EA,Bib Gourmand,"Dine-in,Takeaway,Delivery","Singaporean food such as oyster omelettes, fried prawn mee and carrot cakes. Fried kway teow with cockles and Chinese sausage are cooked-to-order.",A,0,30,2.8,poor,0.7384,excellent,0.4691,good,0.7963,2.97,3.0,3.3
Hamamoto,ChIJL0GR3AIZ2jER0yJEIL0jQGE,"58 Tras Street, 078997, Singapore",Singapore,Central,4,Sushi,103.8441838,1.2779413,9672 7110,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hamamoto,https://hamamoto.com.sg,1 Star,"Dine-in,Delivery,Reservations,Beer,Wine,Credit cards,NFC payments","Sourcing the finest ingredients is something of an obsession for Kyoto-born Kazuhiro Hamamoto. It's not just his nigiri, whether nodoguro or chutoro, that show his careful craftsmanship – the preceding dishes, such as the uni or smoked tuna course, prove just as memorable. Fish is paired with sushi rice dressed in either red or rice vinegar to accentuate its natural flavours. There is just one sitting at lunch and one at dinner, so book well ahead.",B,1,27,4.96,good,0.6845,excellent,0.8226,good,0.9568,4.04,4.7,4.04
Han Kee,ChIJ642LmRIZ2jERuJkC1M3zWF0,"Amoy Street Food Centre, #02-129, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1,Street Food,103.8467276,1.2796254,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/han-kee,https://maps.app.goo.gl/1iAzyhcZKhF19XK5A,Bib Gourmand,"Dine-in,Takeaway,Cash only","There is always a queue at this stall famous for umami-laden soup made with mackerel. Enjoy the soup on its own, or use it as a rich base for porridge or bee hoon with sliced fish or fish head. Come early to beat the crowd.",A,0,28,3.11,good,0.7095,good,0.5765,good,0.7831,3.0,3.11,3.29
Hayop,ChIJI334k48Z2jERRuGSfOS78ww,"104 Amoy Street, 069924, Singapore",Singapore,Central,2,Filipino,103.8474694,1.2817671,8028 9012,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hayop,https://hayopnimanam.com,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Hayop serves modern Filipino fare in a wood-rich space with a subtle maritime theme, a reference to the country's fishing industry. The signature dish is Wagyu and watermelon sinigang, a tangy broth with fall-off-the-bone braised beef short ribs – best enjoyed with steamed rice. Pre-order the roast suckling pig 48 hours ahead; known as ""lechon de leche"", it is copious enough for a few to share. Try their Asian-inspired fruity cocktails, too.",A,0,28,4.21,good,0.7856,excellent,0.7305,good,0.9353,3.64,4.11,3.86
Heng,ChIJx3TNyV8Z2jERAFrgrjj3HVA,"Newton Food Centre, #01-28, 500 Clemenceau Avenue North, 229495, Singapore",Singapore,Central,1,Street Food,103.8393122,1.3120674,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/heng,https://maps.app.goo.gl/rt3DMW9sRqVwtAWb9,Bib Gourmand,"Dine-in,Takeaway,Beer,Credit cards,NFC payments,Wheelchair accessible",The owner has 50+ years-experience serving sweet and savoury carrot cakes. Fried oysters and oyster omelettes are also worth a try.,A,0,26,3.15,good,0.6521,good,0.4515,good,0.8208,3.38,3.65,3.5
Heng Gi Goose and Duck Rice,ChIJ66_bzLgZ2jERYsSC2gZv8jQ,"Tekka Centre, #01-335, 665 Buffalo Road, 210665, Singapore",Singapore,Central,1,Street Food,103.8505645,1.3056875,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/heng-gi-goose-and-duck-rice,https://maps.app.goo.gl/5h4EP191LVpCNmdx8,Selected Restaurants,"Dine-in,Takeaway,Delivery,Cash only",The soya sauce duck is very popular.,A,0,52,3.9,good,0.7298,excellent,0.4448,good,0.8656,3.58,4.04,3.67
Heng Heng Cooked Food,ChIJZZZoqxkQ2jERWiP5Vfg2uDY,"Yuhua Village Market and Food Centre, #01-12, Blk 254, Jurong East Street 24, 600254, Singapore",Singapore,West,1,Street Food,103.7380985,1.343566,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/heng-heng-cooked-food,https://maps.app.goo.gl/CZH5RsSahiaoDnAa9,Bib Gourmand,"Dine-in,Takeaway","Both the laksa and prawn mee are made to order and come in three sizes. Their hallmark laksa is doused in a rich aromatic broth and topped with prawns, fried fish cake, fried tofu and cockles.",B,1,29,3.93,good,0.7474,excellent,0.5569,good,0.9509,3.66,4.31,3.76
Heng Kee,ChIJS07AMK0Z2jERaZQaE5AaREQ,"Hong Lim Market and Food Centre, #01-58, Blk 531A, Upper Cross Street, 051531, Singapore",Singapore,Central,1,Street Food,103.8457218,1.2851492,9278 0415,https://guide.michelin.com/en/singapore-region/singapore/restaurant/heng-kee,https://maps.app.goo.gl/22zu35obngZSAbLq9,Bib Gourmand,"Dine-in,Takeaway,Cash only,Wheelchair accessible","This stall, founded in the 1970s, is now run by the second-generation owner. Its hallmark dishes are mild, well-balanced curry broth, custom-made tofu puffs and fish cakes, as well as generous helpings of velvety chicken.",A,0,26,3.92,good,0.6871,excellent,0.4659,good,0.8528,3.27,3.92,3.81
Heng Long BBQ Chicken Rice,ChIJ6ZflFTQa2jERlvANsLsNVCc,"Mei Ling Market & Food Centre, #02-42, 159 Mei Chin Road, 140159, Singapore",Singapore,Central,1,Street Food,103.8028365,1.2932654,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/heng-long-bbq-chicken-rice,https://maps.app.goo.gl/iQRZtkS4YNAaxqR17,Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The BBQ chicken rice is an absolute must, but the honey-glazed char siew and roast pork are also popular. Or opt for their brine-poached chicken – succulent, perfectly seasoned and with a wonderful velvety texture.",A,0,28,3.39,good,0.7844,excellent,0.3644,good,0.8699,3.21,3.5,3.46
Hill Street Fried Kway Teow,ChIJ-TAXb7Yi2jERW5xWGXUUDXo,"Pasar 16@Bedok (Bedok South Food Centre), #01-41, 16 Bedok South Road, 460016, Singapore",Singapore,East,1,Street Food,103.9355949,1.3203783,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hill-street-fried-kway-teow,https://maps.app.goo.gl/VqikW3TPtivbJrrFA,Selected Restaurants,"Dine-in,Takeaway,Cash only,Wheelchair accessible","This stall serves a single dish that is drop-dead perfect every time. Full-bodied wok hei, irresistible aromas and generous toppings like cockles, Chinese sausage, chives and bean sprouts justify the often hour-long wait.",A,0,26,3.85,good,0.7179,excellent,0.4769,good,0.8216,3.12,3.42,3.5
Hill Street Tai Hwa Pork Noodle,ChIJuYHZKrQZ2jERuAMG3qVN5pk,"Blk 466, #01-12, Crawford Lane, 190466, Singapore",Singapore,Central,1,Street Food,103.8624,1.3052,9272 3920,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hill-street-tai-hwa-pork-noodle,https://www.taihwa.com.sg,1 Star,"Dine-in,Takeaway,Outdoor seating,Beer,Coffee,Cash only,Wheelchair accessible","Noodles are cooked-to-order with nicely layered flavours and textures in every bite. Crispy dried plaice, fluffy cracklings, and tender pork liver are all meticulously prepared. Expect to queue any time of the day.",B,1,25,3.16,poor,0.71,excellent,0.5657,good,0.7454,3.04,3.52,3.48
Hock Hai (Hong Lim) Curry Chicken Noodle,ChIJrTWOw8oi2jER-Xg648zFOWU,"Bedok Interchange Hawker Centre, #01-58, 208 New Upper Changi Road, 460208, Singapore",Singapore,East,1,Street Food,103.9306401,1.324642,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hock-hai-hong-lim-curry-chicken-noodle,https://maps.app.goo.gl/HwUeX74pTqQbQz4N8,Selected Restaurants,"Dine-in,Takeaway","The curry broth may be only mildly hot, but its flavours are deep. The chicken is tender; potato and tofu puffs soak up the sauces. Besides curry, there is satay chicken served on your choice from three varieties of noodles.",A,0,29,3.55,good,0.716,excellent,0.5845,good,0.8692,3.41,3.9,3.38
Hock Seng Choon Fish Ball Kway Teow Mee,ChIJLxMAbrYi2jERJb6FkfTSYPk,"Pasar 16@Bedok (Bedok South Food Centre), #01-50, 16 Bedok South Road, 460016, Singapore",Singapore,East,1,Street Food,103.9351611,1.3203827,9789 6160,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hock-seng-choon-fish-ball-kway-teow-mee,https://maps.app.goo.gl/vDCRqnaCZR6GuP8R8,Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible",Fish balls are tender and rich. The al dente noodles marry well with the fresh broth.,B,1,25,3.04,poor,0.7588,excellent,0.4817,good,0.8496,2.76,3.0,3.28
Hoe Kee Kitchen,ChIJD8NML3UQ2jERbi7NYhPn8Fo,"Jurong West 505 Market & Food Centre, #01-39, Blk 505, Jurong West Street 52, 640505, Singapore",Singapore,West,1,Street Food,103.7184122,1.3499648,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hoe-kee-kitchen,https://maps.app.goo.gl/i6DrgdYMRLantxr4A,Selected Restaurants,"Delivery,Credit cards,NFC payments,Wheelchair accessible",There is always a queue at this popular stall. Steamed chicken rice with tender meat and flavourful rice perfumed with chicken oil is the must-try. Char siew and roasted pork are also good – order a combo of either.,A,0,28,3.46,good,0.7177,excellent,0.4439,good,0.8292,3.29,3.57,3.5
Hokkien Man Hokkien Mee,ChIJJYEuIakX2jERrp1i8kWG54I,"Blk 19, Toa Payoh 7, #01-264, Kim Keat Palm, 310019, Singapore",Singapore,Central,1,Street Food,103.8565087,1.3352503,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hokkien-man-hokkien-mee,https://maps.app.goo.gl/CDLyj7HL2X2zUFyw9,Selected Restaurants,"Dine-in,Takeaway,Reservations,Outdoor seating,Coffee,NFC payments,Wheelchair accessible","As its name suggests, this stall specialises in Hokkien fried noodles in a garlicky broth made with prawn heads. Besides the typical toppings of prawns and squid, you may order others, like egg or abalone, at an additional cost.",A,0,29,3.38,good,0.7472,good,0.3982,good,0.8951,3.0,3.69,3.76
Hokkien Street Bak Kut Teh,ChIJ6-6lXwsZ2jERrepaW896uQE,"Hong Lim Market and Food Centre, #01-66, Blk 531A, Upper Cross Street, 051531, Singapore",Singapore,Central,1,Street Food,103.8457225,1.2853017,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hokkien-street-bak-kut-teh,https://maps.app.goo.gl/8yKwyMxxFidqs5277,Selected Restaurants,"Dine-in,Takeaway","The dark amber coloured bak kut teh from this stall is loaded in herbal goodness. Pair with pork knuckle, pork intestines, steamed fish, pork tail, pork kidney or pork liver on the side, as you prefer.",A,0,27,3.78,good,0.6931,excellent,0.4846,good,0.7778,3.37,3.74,3.44
Hong Heng Fried Sotong Prawn Mee,ChIJpYrj9nkZ2jERukAeUr04fDo,"Tiong Bahru Market, #02-01, 30 Seng Poh Road, 168898, Singapore",Singapore,Central,1,Street Food,103.8327193,1.2849649,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hong-heng-fried-sotong-prawn-mee,https://maps.app.goo.gl/9XzWYsCVD6S2Ncia9,Bib Gourmand,"Dine-in,Takeaway,Beer,Cash only,Wheelchair accessible","Cooked-to-order, the noodles stir-fried with sliced fish, squid and prawn and served with homemade chilli sauce is a favourite.",A,0,27,4.0,good,0.6768,good,0.4424,good,0.8525,3.56,3.93,3.7
Hong Kong Yummy Soup,ChIJvxqnd8wb2jERj-4hBXZC0g4,"Alexandra Village Food Centre, #01-51, Blk 120 Bukit Merah Lane 1, 150120, Singapore",Singapore,Central,1,Street Food,103.8044992,1.2863998,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hong-kong-yummy-soup,https://maps.app.goo.gl/cqa3rWs8nGxEJq8dA,Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","Offers six kinds of soups, like lotus root pork ribs & winter melon pork ribs. Also try steamed pork patty with pumpkin or steamed spare ribs.",A,0,25,3.4,good,0.6923,good,0.5073,good,0.7124,3.28,3.44,3.4
Hong Peng La Mian Xiao Long Bao,ChIJpbdDzQoZ2jEREtY7MxwsQs8,"People's Park Complex Food Centre, #01-1064, 32 New Market Road, 050032, Singapore",Singapore,Central,1,Street Food,103.8425969,1.2852868,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hong-peng-la-mian-xiao-long-bao,https://maps.app.goo.gl/cuQx1PLtAto7R1PA8,Selected Restaurants,"Dine-in,Takeaway,Delivery,Beer","Offers xiao long bao, dumplings and hand-pulled noodles.",A,0,26,3.88,good,0.7586,excellent,0.5148,good,0.8562,3.81,4.35,3.81
Hong Wen Mutton Soup,ChIJL9AwKQAR2jERK9WSRwb4MKQ,"Beauty World Food Centre #04-20, 144 Upper Bukit Timah Road, 588177, Singapore",Singapore,Central,1,Street Food,103.7762553,1.3423709,9889 8948,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hong-wen-mutton-soup,https://maps.app.goo.gl/ekDqYH1A9sBbkFQE7,Selected Restaurants,"Dine-in,Takeaway","In operation for over half a century, this stall is now run by the second-generation owner and his wife. Their signature soup comprises mutton, tripe or tendon in a garlicky and peppery broth with strong herbal accents.",B,1,24,2.96,poor,0.7417,excellent,0.4215,good,0.8123,2.79,2.96,2.96
Hoo Kee Bak Chang,ChIJQXlEtdYb2jER4FOim96HPcM,"Amoy Street Food Centre, #01-18, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1,Street Food,103.8466824,1.2789952,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hoo-kee-rice-dumpling,https://maps.app.goo.gl/X4JbZJ1xHED55wPd6,Bib Gourmand,"Takeaway,Reservations",Glutinous rice mixed with salted duck egg yolk pork and chestnut wrapped with bamboo leaf.,A,0,25,3.8,good,0.6829,excellent,0.497,good,0.8495,3.64,3.84,3.52
Hougang Traditional Famous Wanton Noodle,ChIJd7jlHQAZ2jERF4WnTbOvJ3c,"51 Old Airport Road Food Centre, #01-35, 51 Old Airport Road, 390051, Singapore",Singapore,Central,1,Street Food,103.8855917,1.3083056,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hougang-traditional-famous-wanton-noodle,https://maps.app.goo.gl/DTLmWVXGWHSqe7YV7,Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The traditional wanton here is generously filled with pork, either blanched and served in noodle soup or deep-fried. The noodles, cooked to order, boast bouncy texture. The yellow shrimp broth is loaded with flavour.",A,0,26,3.69,good,0.524,excellent,0.3859,good,0.7792,3.42,3.65,3.38
Hua Xing Bak Kut Teh,ChIJfx17mB8Q2jER2vE_Un6WhAo,"Yuhua Market & Hawker Centre, #01-171, Blk 347, Jurong East Avenue 1, Jurong East, 600347, Singapore",Singapore,West,1,Street Food,103.7313194,1.3452792,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hua-xing-bak-kut-teh,https://maps.app.goo.gl/StxkbDmXsUegsqEJ7,Selected Restaurants,"Dine-in,Takeaway,Coffee,Wheelchair accessible","Bak kut teh with a strong, peppery flavour and aromatic pork ribs. Add rice, pork organs, pork trotter, or vegetable soup for a complete meal.",B,1,29,3.83,good,0.7233,excellent,0.6025,good,0.8911,3.41,3.97,3.66
Huat Heng Fried Oyster,ChIJlzd2wNkZ2jERjawHnd4K2fg,"Whampoa Makan Place, #01-26, 90/91 Whampoa Drive 90, 320091, Singapore",Singapore,Central,1,Street Food,103.8549835,1.3231563,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/huat-heng-fried-oyster,https://maps.app.goo.gl/Gp4TGgi8WQrs3ucW6,Selected Restaurants,"Dine-in,Takeaway","The oyster omelette is fried to order until the crust is nicely browned, while the oysters remain plump and juicy. The house-made chilli sauce elevates the dish considerably. Various portion sizes are available.",B,1,28,2.14,poor,0.7627,poor,0.3668,good,0.7351,2.61,2.54,2.89
Hui Wei Chilli Ban Mian,ChIJOcv3nCwY2jERUGpvILySJgY,"Geylang Bahru Market & Food Centre, #01-58, 69 Geylang Bahru, 330069, Singapore",Singapore,Central,1,Street Food,103.870173,1.32144,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hui-wei-chilli-ban-mian,https://maps.app.goo.gl/2M3AJwZfmoxFZ3ge8,Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","Bouncy ribbon noodles made at the stall are served in soup or ""dry"" – tossed in house-made chilli sauce and topped with minced meat, meatballs, poached egg and fried lard. With limited availability, they tend to sell out early.",B,1,23,4.43,good,0.6455,excellent,0.5354,good,0.9191,3.91,4.52,3.96
Hup Hong Chicken Rice,ChIJZZZoqxkQ2jERyOhBMW_aXp8,"Yuhua Village Market and Food Centre, #01-51, Blk 254, Jurong East Street 24, 600254, Singapore",Singapore,West,1,Street Food,103.7376637,1.3436675,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hup-hong-chicken-rice,https://maps.app.goo.gl/4NCkxaBkzkJpk91u6,Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The queue to get your roasted or boiled chicken rice may be long, but the wait is worthwhile for the silky-fleshed meat and the heady aromas of rice cooked in chicken stock and fat. Enjoy with char siew or roast pork.",A,0,27,4.07,good,0.7358,excellent,0.5351,good,0.9152,3.85,4.07,3.89
Hup Kee Teochew Fishball Noodles,ChIJKd8KPDQa2jERpv_obzYaAEk,"Mei Ling Market & Food Centre, #02-38, 159 Mei Chin Road, 140159, Singapore",Singapore,Central,1,Street Food,103.8028365,1.2932654,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/hup-kee-teochew-fishball-mee,https://maps.app.goo.gl/Db6kp5cW6UwxogzU8,Selected Restaurants,"Dine-in,Takeaway","This popular stall is always busy, even at off-peak times. There are different noodles to choose from, and these are topped with tasty fish balls, pork balls and fried fish cakes. A little of the hot sauce goes a long way!",B,1,30,4.2,good,0.7411,good,0.5035,good,0.9071,3.5,4.1,3.9
Ichigo Ichie,ChIJFxMUjxEZ2jERQ8yDshj-W3k,"Claymore Connect, #01-16/17, 442 Orchard Road, 238879, Singapore",Singapore,Central,3,Japanese,103.8285169,1.3075812,9018 2897,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ichigo-ichie-1205515,https://ichigoichie.com.sg/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Credit cards,NFC payments","After working in a kappo restaurant in Tokyo and helming a famous sushiya in Singapore, Chef Eno has brought to life her own fine-dining concept. At this address since 2024, she serves two set menus that change with the seasons. Her signature somen with kuruma ebi and uni bursts with seafood umami – the briny and sweet prawn broth clings nicely to the silky noodles. Reservations recommended, especially for the sought-after counter seats.",B,1,28,4.68,good,0.5893,excellent,0.6476,good,0.9327,4.29,4.71,4.11
Iggy's,ChIJFQYC8YwZ2jERaWLMF9m1AqM,"voco Orchard, Level 3, 581 Orchard Road, 238883, Singapore",Singapore,Central,3,Fine Dining,103.8293379,1.3059244,6732 2234,https://guide.michelin.com/en/singapore-region/singapore/restaurant/iggy-s,https://www.iggys.com.sg,1 Star,"Dine-in,Reservations,Beer,Wine,Coffee,Credit cards,Wheelchair accessible","A picture window in this elegantly furnished room gives diners a front-row view of the kitchen team in action. The tasting menu served at dinner features multiple courses that showcase top-notch produce from Japan and France, such as Miyazaki Wagyu and Bresse pigeon, deftly crafted with European techniques. There is also a plant-based menu for vegans. With thousands of labels from Burgundy, the wine list is worth perusing.",A,0,28,4.61,good,0.6818,excellent,0.7528,good,0.9342,3.71,4.64,3.93
Imperial Treasure Fine Teochew Cuisine (Orchard),ChIJn3KRuzgZ2jERq14svIz5O9g,"ION Orchard, #03-05, 2 Orchard Turn, 238801, Singapore",Singapore,Central,2,Chinese,103.83147,1.304144,6736 2118,https://guide.michelin.com/en/singapore-region/singapore/restaurant/imperial-treasure-fine-teochew-cuisine-orchard,https://www.imperialtreasure.com,1 Star,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Credit cards,NFC payments,Wheelchair accessible","Since 2016, this restaurant has been serving traditional Teochew fare with an emphasis on fresh seafood. Only 15 oversized swimmer crabs are steamed and served chilled each day, so order ahead to avoid disappointment. Teochew-style, chilled, steamed fish also impresses with irresistible briny-sweetness, tender flesh and buttery belly. Dip in the delicious Puning bean sauce for extra umami. Other classics, like the oyster omelette, are also worth trying.",A,0,28,4.32,good,0.7243,excellent,0.7163,good,0.8768,3.75,4.32,3.93
Imperial Treasure Super Peking Duck (Paragon),ChIJye26KJIZ2jERQ-cRCW2All0,"Paragon Shopping Centre, #05-42/45, 290 Orchard Road, 238859, Singapore",Singapore,Central,2,Cantonese,103.8354,1.303191,6732 7838,https://guide.michelin.com/en/singapore-region/singapore/restaurant/imperial-treasure-super-peking-duck-paragon,https://www.imperialtreasure.com/,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Considered the crown jewel of the group, this place stocks over 3 000 Peking ducks a month, yet still tends to sell out, so be sure to pre-order yours when booking your table. The restaurant is divided into three rooms and the roasted duck – a must-try with crispy skin and succulent meat – is carved tableside. Another signature dish is the velvety poached fish in shrimp stock on crispy rice; the roast pork and slow-boiled soups are also worth trying.",A,0,27,4.67,good,0.7614,excellent,0.8123,good,0.8694,3.78,4.3,3.89
Indocaf,ChIJx-CItu0Z2jER4Rmphah97F0,"35 Scotts Road, 228227, Singapore",Singapore,Central,2,Peranakan,103.8356878,1.3110605,9430 7307,https://guide.michelin.com/en/singapore-region/singapore/restaurant/indocafe-the-white-house,https://thehouseofindocafe.com/indocafe-peranakan-dining,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Coffee,Credit cards,NFC payments","Dark wood furniture and antiques add to the elegant colonial spirit of this restaurant nestled in a bungalow, also known as ‘The White House’. The menu offers Peranakan cuisine and the dishes look deceptively simple, but involve subtly blended spices and seasoning. Wagyu beef rendang uses the cheek cut for tenderness, while spices, fermented shrimp paste, chilli and coconut milk underscore the rich, deep flavour.",A,0,32,4.34,good,0.752,good,0.7381,good,0.8594,3.69,4.06,3.69
Ingleside,ChIJxdvXlJAZ2jERZh44mGOrdRQ,"49 Tras Street, 078988, Singapore",Singapore,Central,2,European,103.8446191,1.2782014,8839 4393,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ingleside,https://ingleside.com.sg/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Outfitted with marble flooring, leather banquettes and dark wood panelling, this place exudes warmth and sleekness. The owner-chef imbues European fare with creative twists in a menu that features fermented foods, chargrilled dishes and an array of meats aged in-house. When grilling carabineros, he throws in some beef fat to accentuate the richness of the tomalley, and his truffle brioche is paired with miso vinegar for deep, earthy umami.",A,0,30,4.73,good,0.6851,excellent,0.782,good,0.9645,4.0,4.7,3.97
Iru Den,ChIJj_WHjuoZ2jERiEtcZWVaZdY,"27 Scotts Road, 228222, Singapore",Singapore,Central,3,Taiwanese,103.8342928,1.3107446,8923 1127,https://guide.michelin.com/en/singapore-region/singapore/restaurant/iru-den,https://www.iruden.sg/,Selected Restaurants,"Dine-in,Takeaway,Reservations,Beer,Wine,Credit cards,NFC payments","A Singaporean chef and his Taiwanese wife opened this restaurant with 12 counter seats and a private room serving authentic Taiwanese fare using top-notch ingredients from the island. The chef’s creative vision and solid skills shine through in tiny details and subtle flavours. His kamameshi rice in a cast iron pot features seasonal catch from the sea and Taiwanese rice. Crispy, smoky rice on the bottom works magically with the fish and house-made pickles.",A,0,26,4.81,good,0.6027,excellent,0.6663,good,0.9622,3.92,4.62,4.19
Ishizawa,ChIJn5DWJbgZ2jERnO3vCMiVoD0,"Raffles Arcade, #01-11, 328 North Bridge Road, 188719, Singapore",Singapore,Central,4,Sushi,103.853512,1.2951613,9012 3938,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ishizawa,https://www.ishizawa.sg,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Credit cards,NFC payments","This exclusive nine-seater in a prestigious hotel is helmed by experienced chef Takahiro Ishizawa. Informed by stints in some celebrated sushi-ya, he breaks away from his previous recipes to explore a new approach that truly reflects his vision. The four set menus served at dinner feature rice from Akita dressed in a unique blend of vinegars, and the freshest catch flown in from Japan four times a week. Reservations are a must.",A,0,24,5.0,good,0.6735,excellent,0.8072,good,0.9428,3.96,4.71,4.33
Ivy's Hainanese Herbal Mutton Soup,ChIJR7E98rsb2jERk6qvxDxRvtk,"Pasir Panjang Food Centre, #14, 121 Pasir Panjang Road, 118543, Singapore",Singapore,Central,1,Street Food,103.7914178,1.2759467,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ivy-s-hainanese-herbal-mutton-soup,https://maps.app.goo.gl/24vzZKHZPXyMgBhc7,Selected Restaurants,"Dine-in,Takeaway,Outdoor seating,NFC payments","Herbal mutton soup, herbal tendon soup and herbal tulang soup are delicious.",A,0,25,4.56,good,0.6807,excellent,0.5383,good,0.927,3.68,4.44,3.88
J2 Famous Crispy Curry Puff,ChIJ642LmRIZ2jERkz20c4ECaYw,"Amoy Street Food Centre, #01-21, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1,Street Food,103.8468008,1.2796129,9475 8425,https://guide.michelin.com/en/singapore-region/singapore/restaurant/j2-famous-crispy-curry-puff,https://maps.app.goo.gl/4EjiW4H2P4vasrPq7,Bib Gourmand,"Dine-in,Takeaway,Coffee","The curry puff comes in four flavours, all wrapped in a flaky, crispy pastry crust. As well as the classic chicken and potato curry, try the black pepper chicken, sweet taro or chilli sardine-filled pastry.",B,1,28,4.71,good,0.6022,excellent,0.4915,good,0.9341,3.75,4.5,3.96
